,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Manufacturer
35,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,Maruti
36,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63,Maruti
37,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85,Mahindra
38,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0,Mercedes-Benz
39,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0,Volkswagen
40,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25,Maruti
41,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53,Tata
42,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58,Mahindra
43,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74,Hyundai
44,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85,Hyundai
45,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11,Toyota
46,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25,Hyundai
47,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95,Toyota
48,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85,Hyundai
49,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5,Mahindra
50,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43,Audi
51,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,Maruti
52,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3,Maruti
53,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85,Maruti
54,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6,Hyundai
55,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99,Volkswagen
56,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3,Renault
57,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07,Hyundai
58,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75,Nissan
59,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25,Maruti
60,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5,Toyota
61,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,Ford
62,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7,Mercedes-Benz
63,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0,Mercedes-Benz
64,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5,Tata
65,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,Audi
66,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85,Honda
67,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67,Mercedes-Benz
68,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15,Maruti
69,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5,Hyundai
70,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,Porsche
71,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,Mahindra
72,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,Hyundai
73,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,Nissan
74,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,Honda
75,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5,Audi
76,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,0.0,5.0,2.0,Ford
77,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5,Toyota
78,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,Toyota
79,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,0.0,5.0,1.3,Hyundai
80,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,Maruti
81,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,Tata
82,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,Honda
83,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,Ford
84,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11,Maruti
85,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25,Honda
86,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9,BMW
87,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25,Hyundai
88,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,Hyundai
89,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,0.0,5.0,2.1,Hyundai
90,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0,Honda
91,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,Toyota
92,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58,Audi
93,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5,Ford
94,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,Mahindra
95,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,Honda
96,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79,Volkswagen
97,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45,Hyundai
98,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45,Maruti
99,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65,Volkswagen
100,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,Hyundai
101,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65,Hyundai
102,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95,Datsun
103,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8,Audi
104,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,Hyundai
105,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,Maruti
106,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9,Toyota
107,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0,Jaguar
108,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,Mahindra
109,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25,Hyundai
110,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25,Toyota
111,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91,Maruti
112,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15,Tata
113,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75,BMW
114,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35,Honda
115,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11,Toyota
116,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,Volvo
117,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55,Nissan
118,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0,BMW
119,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,Maruti
120,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,0.0,5.0,0.85,Hyundai
121,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,Mercedes-Benz
122,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,Hyundai
123,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,Maruti
124,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23,Tata
125,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75,Mahindra
126,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35,Mercedes-Benz
127,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,3.25,Maruti
128,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25,Honda
129,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,Volkswagen
130,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,Maruti
131,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,Mahindra
132,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,Maruti
133,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6,Maruti
134,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0,Mercedes-Benz
135,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5,Hyundai
136,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6,Maruti
137,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22,BMW
138,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0,Honda
139,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95,Honda
140,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95,Mercedes-Benz
141,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7,Honda
142,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,Maruti
143,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,0.0,5.0,1.67,Hyundai
144,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49,Toyota
145,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85,Chevrolet
146,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75,Skoda
147,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9,Maruti
148,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0,Audi
149,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5,BMW
150,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32,Audi
151,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25,Maruti
152,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0,Mercedes-Benz
153,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86,Skoda
154,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5,Skoda
155,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23,Hyundai
156,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,Volkswagen
157,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5,Datsun
158,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39,Honda
159,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25,Mercedes-Benz
160,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11,Honda
161,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9,Toyota
162,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2,Maruti
163,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9,Mahindra
164,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42,Ford
165,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5,Toyota
166,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25,Volkswagen
167,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1,Ford
168,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0,BMW
169,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66,Mercedes-Benz
170,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65,Honda
171,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,Hyundai
172,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5,Mercedes-Benz
173,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5,Hyundai
174,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0,Audi
175,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45,Volkswagen
176,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0,Mini
177,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35,Hyundai
178,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95,Audi
179,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5,Chevrolet
180,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89,Skoda
181,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45,Ford
182,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5,BMW
183,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25,Chevrolet
184,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2,Volkswagen
185,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75,Renault
186,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0,Mercedes-Benz
187,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5,Maruti
188,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6,Hyundai
189,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04,Hyundai
190,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31,Mahindra
191,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76,Land
192,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,Ford
193,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5,Maruti
194,Ahmedabad,2007,60006,Petrol,Manual,First,0.0,1493.0,92.7,5.0,2.95,Honda
195,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,Honda
196,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55,Hyundai
197,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25,Honda
198,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5,Skoda
199,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35,Renault
200,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5,Mahindra
201,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0,Maruti
202,Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0,Hyundai
203,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75,Skoda
204,Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5,Tata
205,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9,Audi
206,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0,Skoda
207,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0,Toyota
208,Kolkata,2010,42001,Petrol,Manual,First,16.1,1493.0,92.7,5.0,2.11,Maruti
209,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96,Mercedes-Benz
210,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25,Honda
211,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75,Hyundai
212,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95,Renault
213,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15,Hyundai
214,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22,Maruti
215,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5,Mercedes-Benz
216,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45.0,Audi
217,Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9,Hyundai
218,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9,Skoda
219,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0,Skoda
220,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22,Hyundai
221,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5,Honda
222,Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25,Maruti
223,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7,Mahindra
224,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41,Mercedes-Benz
225,Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65,Maruti
226,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92,Nissan
227,Delhi,2013,47000,Diesel,Manual,First,17.8,1248.0,0.0,5.0,4.1,Maruti
228,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67,Mini
229,Bangalore,2015,70436,Diesel,Manual,First,0.0,1498.0,99.0,5.0,3.6,Ford
230,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85,Tata
231,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32,Chevrolet
232,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6,Volkswagen
233,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8,Maruti
234,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5,Ford
235,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64,Toyota
236,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7.0,Hyundai
237,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.87,Honda
238,Kochi,2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27,Hyundai
239,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18.12,Mercedes-Benz
240,Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65,Chevrolet
241,Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2,Hyundai
242,Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14.3,Toyota
243,Chennai,2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.9,Maruti
244,Mumbai,2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.75,Toyota
245,Mumbai,2007,72000,Petrol,Manual,Third,17.0,1086.0,0.0,5.0,0.95,Hyundai
246,Kochi,2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,8.09,Honda
247,Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,18.5,BMW
248,Mumbai,2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.75,Hyundai
249,Chennai,2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.45,Maruti
250,Kolkata,2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,3.5,Skoda
251,Kochi,2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,1.8,Hyundai
252,Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,3.7,Volkswagen
253,Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.17,Honda
254,Jaipur,2010,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,1.75,Hyundai
255,Kochi,2018,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,21.99,Hyundai
256,Pune,2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.65,Toyota
257,Jaipur,2011,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,1.85,Maruti
258,Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,5.95,Maruti
259,Mumbai,2014,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.75,Hyundai
260,Pune,2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,Maruti
261,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.6,Hyundai
262,Hyderabad,2006,99000,Petrol,Manual,First,0.0,1086.0,0.0,5.0,1.75,Hyundai
263,Mumbai,2010,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,2.8,Hyundai
264,Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,61.29,Mercedes-Benz
265,Bangalore,2014,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,18.0,Mercedes-Benz
266,Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,4.35,Maruti
267,Bangalore,2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.75,Hyundai
